Time	Strain
-1.7999688223125	8.2230334846308885e-22
-1.79990778715625	8.24581197272117e-22
-1.799846752	8.268064921017247e-22
-1.79978571684375	8.289790865993202e-22
-1.7997246816875	8.310988404965899e-22
-1.79966364653125	8.331656147377376e-22
-1.799602611375	8.351792759706261e-22
-1.79954157621875	8.371396908857781e-22
-1.7994805410625	8.390467341861685e-22
-1.79941950590625	8.409002791165879e-22
-1.79935847075	8.427002055586716e-22
-1.79929743559375	8.444463960561107e-22
-1.7992364004375	8.461387359898142e-22
-1.79917536528125	8.47777114479767e-22
-1.799114330125	8.493614242637767e-22
-1.79905329496875	8.508915609639674e-22
-1.7989922598125	8.523674252626479e-22
-1.79893122465625	8.53788918896423e-22
-1.7988701895	8.55155948648e-22
-1.79880915434375	8.564684245566742e-22
-1.7987481191875	8.577262599146107e-22
-1.79868708403125	8.589293713012697e-22
-1.798626048875	8.600776795137567e-22
-1.79856501371875	8.611711080213236e-22
-1.7985039785625	8.622095840202544e-22
-1.79844294340625	8.631930389458953e-22
-1.79838190825	8.641214068521314e-22
-1.79832087309375	8.649946250411236e-22
-1.7982598379375	8.658126352454487e-22
-1.79819880278125	8.665753831540687e-22
-1.798137767625	8.67282815823166e-22
-1.79807673246875	8.67934885883872e-22
-1.7980156973125	8.685315490124422e-22
-1.79795466215625	8.690727634982218e-22
-1.797893627	8.695584926236424e-22
-1.79783259184375	8.699887021530028e-22
-1.7977715566875	8.703633617213795e-22
-1.79771052153125	8.70682444601188e-22
-1.797649486375	8.709459272595233e-22
-1.79758845121875	8.71153789792057e-22
-1.7975274160625	8.713060164934491e-22
-1.79746638090625	8.714025946105563e-22
-1.79740534575	8.71443515324546e-22
-1.79734431059375	8.714287721745375e-22
-1.7972832754375	8.713583647804796e-22
-1.79722224028125	8.712322927358148e-22
-1.797161205125	8.7105056305646e-22
-1.79710016996875	8.708131830538302e-22
-1.7970391348125	8.705201658294809e-22
-1.79697809965625	8.701715269346867e-22
-1.7969170645	8.697672856183898e-22
-1.79685602934375	8.693074643645677e-22
-1.7967949941875	8.687920912228023e-22
-1.79673395903125	8.68221194427433e-22
-1.796672923875	8.675948085914733e-22
-1.79661188871875	8.66912970588861e-22
-1.7965508535625	8.661757209425247e-22
-1.79648981840625	8.653831040177534e-22
-1.79642878325	8.645351670844343e-22
-1.79636774809375	8.636319623638173e-22
-1.7963067129375	8.626735436965602e-22
-1.79624567778125	8.616599707629549e-22
-1.796184642625	8.605913041097564e-22
-1.79612360746875	8.594676095728626e-22
-1.7960625723125	8.582889564117062e-22
-1.79600153715625	8.570554169717422e-22
-1.795940502	8.557670668225793e-22
-1.79587946684375	8.544239861176892e-22
-1.7958184316875	8.530262569739683e-22
-1.79575739653125	8.515739662658108e-22
-1.795696361375	8.500672045026754e-22
-1.79563532621875	8.48506064508527e-22
-1.7955742910625	8.468906432818898e-22
-1.79551325590625	8.452210416886264e-22
-1.79545222075	8.434973633428038e-22
-1.79539118559375	8.417197153307651e-22
-1.7953301504375	8.398882087582913e-22
-1.79526911528125	8.380029578055067e-22
-1.795208080125	8.360640801699328e-22
-1.79514704496875	8.340716973370234e-22
-1.7950860098125	8.320259331854761e-22
-1.79502497465625	8.2992691686778e-22
-1.7949639395	8.277747781607533e-22
-1.79490290434375	8.2556965400364585e-22
-1.7948418691875	8.233116806461236e-22
-1.79478083403125	8.210010009563067e-22
-1.794719798875	8.186377593259504e-22
-1.79465876371875	8.162221043129209e-22
-1.7945977285625	8.137541869087318e-22
-1.79453669340625	8.112341641856882e-22
-1.79447565825	8.086621923260997e-22
-1.79441462309375	8.060384343384501e-22
-1.7943535879375	8.033630551392592e-22
-1.79429255278125	8.0063622315333715e-22
-1.794231517625	7.978581095602244e-22
-1.79417048246875	7.950288897679499e-22
-1.7941094473125	7.9214874215978e-22
-1.79404841215625	7.892178486408501e-22
-1.793987377	7.862363927325733e-22
-1.79392634184375	7.832045637077247e-22
-1.7938653066875	7.801225526029413e-22
-1.79380427153125	7.769905539083024e-22
-1.793743236375	7.738087647456235e-22
-1.79368220121875	7.70577386837052e-22
-1.7936211660625	7.672966239406964e-22
-1.79356013090625	7.639666835720451e-22
-1.79349909575	7.605877760123574e-22
-1.79343806059375	7.571601150243756e-22
-1.7933770254375	7.536839170158613e-22
-1.79331599028125	7.501594021973391e-22
-1.793254955125	7.46586793220026e-22
-1.79319391996875	7.429663165249239e-22
-1.7931328848125	7.392982009870344e-22
-1.79307184965625	7.355826790452032e-22
-1.7930108145	7.318199859011628e-22
-1.79294977934375	7.280103594521246e-22
-1.7928887441875	7.241540417280109e-22
-1.79282770903125	7.202512764717022e-22
-1.792766673875	7.1630231154320995e-22
-1.79270563871875	7.123073963856662e-22
-1.7926446035625	7.082667853615382e-22
-1.79258356840625	7.041807337494519e-22
-1.79252253325	7.000495009364261e-22
-1.79246149809375	6.958733492584111e-22
-1.7924004629375	6.916525433968321e-22
-1.79233942778125	6.873873511282969e-22
-1.792278392625	6.830780434216881e-22
-1.79221735746875	6.787248933555232e-22
-1.7921563223125	6.74328177720272e-22
-1.79209528715625	6.698881752202351e-22
-1.792034252	6.654051681105706e-22
-1.79197321684375	6.608794409652099e-22
-1.7919121816875	6.563112815106363e-22
-1.79185114653125	6.517009792127171e-22
-1.791790111375	6.470488283426253e-22
-1.79172907621875	6.423551236292896e-22
-1.7916680410625	6.376201631774573e-22
-1.79160700590625	6.328442484991154e-22
-1.79154597075	6.280276831444482e-22
-1.79148493559375	6.231707733749649e-22
-1.7914239004375	6.182738279533534e-22
-1.79136286528125	6.133371581663595e-22
-1.791301830125	6.083610784806747e-22
-1.79124079496875	6.033459049842361e-22
-1.7911797598125	5.982919572219403e-22
-1.79111872465625	5.931995562847058e-22
-1.7910576895	5.88069026753838e-22
-1.79099665434375	5.82900694983822e-22
-1.7909356191875	5.776948898102008e-22
-1.79087458403125	5.724519429701223e-22
-1.790813548875	5.671721879509902e-22
-1.79075251371875	5.618559613339643e-22
-1.7906914785625	5.565036013287374e-22
-1.79063044340625	5.5111544906359865e-22
-1.79056940825	5.456918480616253e-22
-1.79050837309375	5.402331431486605e-22
-1.7904473379375	5.347396826034695e-22
-1.79038630278125	5.292118164795333e-22
-1.790325267625	5.23649897039283e-22
-1.79026423246875	5.180542787999775e-22
-1.7902031973125	5.124253182695415e-22
-1.79014216215625	5.067633743707236e-22
-1.790081127	5.010688081510281e-22
-1.79002009184375	4.953419826192429e-22
-1.7899590566875	4.895832632022546e-22
-1.78989802153125	4.837930170443634e-22
-1.789836986375	4.779716130571219e-22
-1.78977595121875	4.72119423333372e-22
-1.7897149160625	4.6623682062523015e-22
-1.78965388090625	4.6032418053144035e-22
-1.78959284575	4.543818803601928e-22
-1.78953181059375	4.484102992147854e-22
-1.7894707754375	4.42409818191968e-22
