Time	Strain
-1.7999830242500003	5.2251469757352074e-23
-1.7999219890937503	5.386187992742321e-23
-1.7998609539375003	5.543635989115028e-23
-1.7997999187812503	5.697385598201529e-23
-1.7997388836250003	5.847333945034899e-23
-1.7996778484687503	5.993380681393386e-23
-1.7996168133125003	6.135428042166037e-23
-1.7995557781562503	6.273380939211367e-23
-1.7994947430000003	6.407147013655794e-23
-1.7994337078437503	6.536636682538446e-23
-1.7993726726875003	6.661763229269192e-23
-1.7993116375312503	6.782442838847857e-23
-1.7992506023750003	6.898594662733527e-23
-1.7991895672187503	7.010140863125034e-23
-1.7991285320625003	7.117006681830009e-23
-1.7990674969062503	7.219120479892201e-23
-1.7990064617500003	7.316413782800102e-23
-1.7989454265937503	7.408821345412588e-23
-1.7988843914375003	7.496281165513118e-23
-1.7988233562812503	7.578734554408342e-23
-1.7987623211250003	7.656126158809887e-23
-1.7987012859687503	7.728404003826898e-23
-1.7986402508125003	7.795519517442416e-23
-1.7985792156562503	7.857427605234708e-23
-1.7985181805000003	7.914086610492449e-23
-1.7984571453437503	7.965458414187159e-23
-1.7983961101875003	8.011508394700612e-23
-1.7983350750312503	8.052205522793355e-23
-1.7982740398750003	8.087522300612326e-23
-1.7982130047187503	8.117434869296411e-23
-1.7981519695625003	8.1419229500022e-23
-1.7980909344062503	8.160969888519412e-23
-1.7980298992500003	8.17456267919222e-23
-1.7979688640937503	8.182691956783161e-23
-1.7979078289375003	8.185352014503228e-23
-1.7978467937812503	8.182540781396073e-23
-1.7977857586250003	8.174259851224348e-23
-1.7977247234687503	8.160514484315732e-23
-1.7976636883125003	8.141313589332409e-23
-1.7976026531562503	8.116669717401661e-23
-1.7975416180000003	8.086599062468359e-23
-1.7974805828437503	8.051121444119569e-23
-1.7974195476875003	8.01026031491433e-23
-1.7973585125312503	7.964042703440583e-23
-1.7972974773750003	7.912499227779802e-23
-1.7972364422187503	7.855664089232706e-23
-1.7971754070625003	7.793575012849094e-23
-1.7971143719062503	7.726273244126392e-23
-1.7970533367500003	7.65380349725517e-23
-1.7969923015937503	7.576213990500683e-23
-1.7969312664375003	7.493556324023132e-23
-1.7968702312812503	7.405885503788819e-23
-1.7968091961250003	7.313259913816263e-23
-1.7967481609687503	7.215741221982745e-23
-1.7966871258125003	7.113394409503425e-23
-1.7966260906562503	7.006287664181914e-23
-1.7965650555000003	6.894492362133055e-23
-1.7965040203437503	6.778083040309678e-23
-1.7964429851875003	6.657137309746053e-23
-1.7963819500312503	6.531735826682991e-23
-1.7963209148750003	6.401962234725842e-23
-1.7962598797187503	6.267903108449279e-23
-1.7961988445625003	6.129647892652873e-23
-1.7961378094062503	5.987288853510643e-23
-1.7960767742500003	5.840920997596454e-23
-1.7960157390937503	5.690642025296394e-23
-1.7959547039375003	5.536552266692536e-23
-1.7958936687812503	5.378754592748308e-23
-1.7958326336250003	5.2173543882763607e-23
-1.7957715984687503	5.052459426338094e-23
-1.7957105633125003	4.884179849335535e-23
-1.7956495281562503	4.712628056760991e-23
-1.7955884930000003	4.5379186615409027e-23
-1.7955274578437503	4.360168382979831e-23
-1.7954664226875003	4.179495991434971e-23
-1.7954053875312503	3.99602221956326e-23
-1.7953443523750003	3.809869686189358e-23
-1.7952833172187503	3.621162801974099e-23
-1.7952222820625003	3.4300277106623155e-23
-1.7951612469062503	3.2365921837005617e-23
-1.7951002117500003	3.040985536524522e-23
-1.7950391765937503	2.843338553195157e-23
-1.7949781414375003	2.6437833938243114e-23
-1.7949171062812503	2.4424535020646257e-23
-1.7948560711250003	2.239483520811152e-23
-1.7947950359687503	2.0350091986012212e-23
-1.7947340008125003	1.829167307198282e-23
-1.7946729656562503	1.6220955347823026e-23
-1.7946119305000003	1.4139324132005138e-23
-1.7945508953437503	1.2048172056752641e-23
-1.7944898601875003	9.94889831052326e-24
-1.7944288250312503	7.84290757524254e-24
-1.7943677898750003	5.731609154237702e-24
-1.7943067547187503	3.616416009515388e-24
-1.7942457195625003	1.4987438098425323e-24
-1.7941846844062503	-6.199900020672114e-25
-1.7941236492500003	-2.7383671645901164e-24
-1.7940626140937503	-4.854969555686327e-24
-1.7940015789375003	-6.968380133396462e-24
-1.7939405437812503	-9.077183870227203e-24
-1.7938795086250003	-1.1179968732942236e-23
-1.7938184734687503	-1.3275326600533946e-23
-1.7937574383125003	-1.5361854221589883e-23
-1.7936964031562503	-1.7438154147900794e-23
-1.7936353680000003	-1.9502835680688392e-23
-1.7935743328437503	-2.155451579630702e-23
-1.7935132976875003	-2.359182005532243e-23
-1.7934522625312503	-2.5613383543005934e-23
-1.7933912273750003	-2.761785180577736e-23
-1.7933301922187503	-2.9603881698282416e-23
-1.7932691570625003	-3.1570142372921415e-23
-1.7932081219062503	-3.3515316063578735e-23
-1.7931470867500003	-3.5438099023597783e-23
-1.7930860515937503	-3.7337202453341494e-23
-1.7930250164375003	-3.9211353339618094e-23
-1.7929639812812503	-4.105929513431928e-23
-1.7929029461250003	-4.2879788907825865e-23
-1.7928419109687503	-4.467161392262966e-23
-1.7927808758125003	-4.643356859620039e-23
-1.7927198406562503	-4.8164471308387705e-23
-1.7926588055000003	-4.986316096844168e-23
-1.7925977703437503	-5.152849818758469e-23
-1.7925367351875003	-5.315936572492607e-23
-1.7924757000312503	-5.475466942396241e-23
-1.7924146648750003	-5.631333861431463e-23
-1.7923536297187503	-5.78343274560075e-23
-1.7922925945625003	-5.931661500086445e-23
-1.7922315594062503	-6.075920631881908e-23
-1.7921705242500003	-6.216113280626158e-23
-1.7921094890937503	-6.352145320797299e-23
-1.7920484539375003	-6.483925396221501e-23
-1.7919874187812503	-6.611365010002947e-23
-1.7919263836250003	-6.734378538541487e-23
-1.7918653484687503	-6.852883335742208e-23
-1.7918043133125003	-6.966799773183722e-23
-1.7917432781562503	-7.076051273224323e-23
-1.7916822430000003	-7.180564403486945e-23
-1.7916212078437503	-7.280268869950703e-23
-1.7915601726875003	-7.375097630160833e-23
-1.7914991375312503	-7.464986870874871e-23
-1.7914381023750003	-7.549876114091836e-23
-1.7913770672187503	-7.629708200352206e-23
-1.7913160320625003	-7.704429371165131e-23
-1.7912549969062503	-7.773989293779831e-23
-1.7911939617500003	-7.838341069099432e-23
-1.7911329265937503	-7.897441309606953e-23
-1.7910718914375003	-7.951250130244499e-23
-1.7910108562812503	-7.999731188354752e-23
-1.7909498211250003	-8.042851721515504e-23
-1.7908887859687503	-8.080582544901115e-23
-1.7908277508125003	-8.112898083436548e-23
-1.7907667156562503	-8.139776410757168e-23
-1.7907056805000003	-8.161199210741924e-23
-1.7906446453437503	-8.17715184906216e-23
-1.7905836101875003	-8.187623360248849e-23
